dataset,correctness_score,semantic_similarity_score,answer_relevancy_score,avg_score
agriculture.csv,62.6,56.56102634648735,63.0,60.72034211549578
art.csv,62.9,55.858471097502324,64.75,61.1694903658341
biography.csv,56.55555555555556,53.419038581027124,61.94444444444444,57.3063461936757
biology.csv,68.77272727272728,60.24576462310052,65.9090909090909,64.9758609349729
cooking.csv,58.916666666666664,55.1363063502491,62.083333333333336,58.7121021167497
cs.csv,69.6,63.91316512659442,66.5,66.67105504219813
fiction.csv,31.863636363636367,36.33752925654966,38.63636363636363,35.61250975218322
fin.csv,45.79710144927536,43.16112555046988,46.231884057971016,45.063370352572086
health.csv,63.5,56.29224415186237,61.94444444444444,60.57889619876894
history.csv,76.0,64.84259460836428,81.11111111111111,73.98456857315846
legal.csv,38.65296803652968,42.93140933326661,57.99086757990868,46.52508164990166
literature.csv,42.27777777777778,43.46597596618121,49.44444444444444,45.062732729467804
mathematics.csv,56.25,52.88774301350675,53.75,54.295914337835576
mix.csv,59.38461538461538,55.64777401610398,67.6923076923077,60.908232364342346
music.csv,69.6,61.675816371703185,72.75,68.0086054572344
philosophy.csv,65.05,57.09205881916786,63.5,61.88068627305595
physics.csv,82.5625,70.79370093334863,81.875,78.41040031111622
politics.csv,62.16666666666667,54.74167750069137,63.33333333333333,60.080559166897125
psychology.csv,58.099999999999994,54.08655695475986,56.25,56.14551898491995
technology.csv,65.125,58.92645938849138,66.45833333333333,63.50326424060824
